,name,description,homepage,github_id,image,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count
63,openmmlab-mmsegmentation,openmmlab-mmsegmentation.,https://github.com/open-mmlab/mmsegmentation,open-mmlab/mmsegmentation,./screenshots/open-mmlab-mmsegmentation.png,图像分割,True,https://github.com/open-mmlab/mmsegmentation,Apache-2.0,2020-06-14 04:32:33,2021-04-28 14:34:09,2021-04-28 06:51:09,402,78.0,263.0,1695,134.0,2021-04-04 04:03:44,0.12.0,7.0,31.0,19,2,,,5.0,5.0
64,awesome-gan-for-medical-imaging,xinario awesome-gan-for-medical-imaging.,https://github.com/xinario/awesome-gan-for-medical-imaging,xinario/awesome-gan-for-medical-imaging,./screenshots/awesome-gan-for-medical-imaging.png,医疗影像,True,https://github.com/xinario/awesome-gan-for-medical-imaging,,2017-08-23 20:38:25,2021-04-14 17:00:05,2021-04-14 17:00:05,362,,4.0,1645,87.0,,,,10.0,12,3,,,,
65,pixel2style2pixel,eladrich pixel2style2pixel.,https://github.com/eladrich/pixel2style2pixel,eladrich/pixel2style2pixel,./screenshots/pixel2style2pixel.png,图图转换ImageTranslation,True,https://github.com/eladrich/pixel2style2pixel,MIT,2020-10-01 11:01:03,2021-04-24 04:40:28,2021-04-24 04:40:25,211,5.0,120.0,1541,40.0,,,,3.0,14,2,,,,
66,facebookresearch-pycls,facebookresearch pycls.,https://github.com/facebookresearch/pycls,facebookresearch/pycls,./screenshots/facebookresearch-pycls.png,图像分类,True,https://github.com/facebookresearch/pycls,MIT,2019-06-10 22:47:17,2021-04-06 08:35:04,2021-03-27 08:14:57,169,15.0,44.0,1540,76.0,2020-04-15 19:33:22,0.1,1.0,10.0,15,3,,,3.0,3.0
67,awesome-autonomous-vehicles,manfreddiaz awesome-autonomous-vehicles.,https://github.com/manfreddiaz/awesome-autonomous-vehicles,manfreddiaz/awesome-autonomous-vehicles,./screenshots/awesome-autonomous-vehicles.png,others,True,https://github.com/manfreddiaz/awesome-autonomous-vehicles,,2016-12-09 20:07:33,2021-04-01 17:23:21,2021-04-01 17:23:21,431,1.0,4.0,1494,74.0,,,,8.0,12,3,,,,
68,Single-Image-Super-Resolution,YapengTian Single-Image-Super-Resolution.,https://github.com/YapengTian/Single-Image-Super-Resolution,YapengTian/Single-Image-Super-Resolution,./screenshots/Single-Image-Super-Resolution.png,图像超分辨率,True,https://github.com/YapengTian/Single-Image-Super-Resolution,,2016-10-09 16:11:13,2021-04-05 00:54:07,2021-04-05 00:54:07,337,1.0,,1493,138.0,,,,7.0,12,3,,,,
69,DeepFace,RiweiChen DeepFace.,https://github.com/RiweiChen/DeepFace,RiweiChen/DeepFace,./screenshots/DeepFace.png,人脸检测与识别,True,https://github.com/RiweiChen/DeepFace,,2015-11-12 13:42:57,2016-09-11 09:12:56,2016-09-11 09:09:48,624,15.0,22.0,1461,25.0,,,,2.0,10,3,,,,
70,PaddleSeg,PaddlePaddle PaddleSeg.,https://github.com/PaddlePaddle/PaddleSeg,PaddlePaddle/PaddleSeg,./screenshots/PaddleSeg.png,图像分割,True,https://github.com/PaddlePaddle/PaddleSeg,Apache-2.0,2019-08-26 02:32:22,2021-04-27 12:34:50,2021-04-20 08:53:45,337,240.0,237.0,1378,,2021-02-26 09:15:56,2.0.0,10.0,42.0,20,1,,,75.0,75.0
71,Image_Segmentation,LeeJunHyun Image_Segmentation.,https://github.com/LeeJunHyun/Image_Segmentation,LeeJunHyun/Image_Segmentation,./screenshots/LeeJunHyun-Image_Segmentation.png,图像分割,True,https://github.com/LeeJunHyun/Image_Segmentation,,2018-06-18 08:27:27,2020-12-07 10:12:37,2019-04-14 15:33:53,392,30.0,40.0,1360,12.0,,,,,10,3,,,,
72,Deep-Learning-for-Medical-Applications,albarqouni Deep-Learning-for-Medical-Applications.,https://github.com/albarqouni/Deep-Learning-for-Medical-Applications,albarqouni/Deep-Learning-for-Medical-Applications,./screenshots/Deep-Learning-for-Medical-Applications.png,医疗影像,True,https://github.com/albarqouni/Deep-Learning-for-Medical-Applications,GPL-3.0,2017-03-11 12:28:04,2019-04-09 06:32:23,2019-04-09 06:32:22,444,1.0,1.0,1318,50.0,,,,10.0,12,3,,,,
